IdAlumno,Prediccion,Edad,Genero,Distrito,Provincia,Departamento,FamiliarResponsable,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,ExcedeMitadCursosDesaprobados,GrupoEdad,ExcedePagosAtrasados,TipoColegio,Desercion
100138991,0,18.0,F,VENTANILLA,PROV. CONST. DEL CALLAO,CALLAO,Madre,9,3,SI,NO,MenosDe18,0.0,PRIV,0
100138999,0,19.0,F,HUANTA,HUANTA,AYACUCHO,Alumno,0,3,NO,NO,Entre18y25,0.0,PRIV,0
100139005,0,18.0,F,PUENTE PIEDRA,LIMA ,LIMA,Madre,3,0,NO,NO,MenosDe18,0.0,PUBL,0
100139008,0,17.0,M,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,Padre,3,3,NO,NO,MenosDe18,0.0,PRIV,0
100139014,0,17.0,M,LURIN,LIMA ,LIMA,Madre,2,0,NO,NO,MenosDe18,0.0,PUBL,0
100139020,0,18.0,F,AYACUCHO,HUAMANGA,AYACUCHO,Apoderado,6,3,NO,NO,MenosDe18,0.0,PUBL,0
100139030,1,18.0,M,COMAS,LIMA ,LIMA,Apoderado,12,12,SI,NO,MenosDe18,0.0,PUBL,1
100139037,0,29.0,F,ATE,LIMA ,LIMA,Alumno,0,0,NO,NO,Mayor25,0.0,PUBL,0
100139046,0,18.0,F,COMAS,LIMA ,LIMA,Apoderado,6,0,SI,NO,MenosDe18,0.0,PUBL,0
100139050,0,18.0,M,LOS OLIVOS,LIMA ,LIMA,Apoderado,0,0,NO,NO,MenosDe18,0.0,PUBL,0
100139063,0,18.0,M,SANTIAGO DE SURCO,LIMA ,LIMA,Padre,0,3,SI,NO,MenosDe18,0.0,PUBL,0
100139070,1,17.0,F,SAN MARTÍN DE PORRES,LIMA ,LIMA,Madre,12,9,SI,NO,MenosDe18,1.0,PRIV,0
100139074,0,21.0,M,ATE,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PUBL,0
100139080,0,18.0,F,COMAS,LIMA ,LIMA,Madre,0,0,NO,NO,MenosDe18,0.0,PRIV,0
